%
freq per preWhitenedPer modelledPsd
239.01855 -55.59515 -62.40227 -51.81145 
240.09521 -63.01332 -69.74928 -51.88261 
241.17188 -73.95437 -80.61907 -51.95386 
242.24854 -61.76428 -68.35766 -52.02519 
243.32520 -59.41161 -65.93360 -52.09658 
244.40186 -60.42459 -66.87511 -52.16804 
245.47852 -66.05726 -72.43627 -52.23956 
246.55518 -71.70506 -78.01250 -52.31112 
247.63184 -62.09344 -68.32928 -52.38273 
248.70850 -60.22147 -66.38565 -52.45438 
249.78516 -62.57406 -68.66656 -52.52606 
250.86182 -66.79151 -72.81230 -52.59777 
251.93848 -64.23734 -70.18641 -52.66949 
253.01514 -60.69570 -66.57303 -52.74123 
254.09180 -56.21228 -62.01788 -52.81297 
255.16846 -52.90342 -58.63727 -52.88471 
256.24512 -52.50542 -58.16754 -52.95645 
257.32178 -56.90886 -62.49926 -53.02817 
258.39844 -54.49894 -60.01763 -53.09988 
259.47510 -46.01882 -51.46583 -53.17156 
260.55176 -41.84886 -47.22422 -53.24321 
261.62842 -40.08285 -45.38659 -53.31483 
262.70508 -40.23232 -45.46449 -53.38640 
263.78174 -42.46666 -47.62730 -53.45793 
264.85840 -48.06791 -53.15708 -53.52940 
265.93506 -59.04257 -64.06032 -53.60081 
267.01172 -48.57308 -53.51948 -53.67216 
268.08838 -44.96915 -49.84428 -53.74344 
269.16504 -44.19857 -49.00249 -53.81465 
270.24170 -44.90638 -49.63918 -53.88577 
271.31836 -46.52273 -51.18448 -48.95211 
272.39502 -49.09152 -53.68233 -54.02776 
273.47168 -53.72602 -58.24597 -54.09862 
274.54834 -64.84552 -69.29472 -54.16938 
275.62500 -61.01812 -65.39666 -54.24003 
276.70166 -57.23867 -61.54667 -54.31057 
277.77832 -59.66008 -63.89765 -54.38100 
278.85498 -60.30872 -64.47598 -54.45131 
279.93164 -53.70650 -57.80358 -54.52149 
281.00830 -50.65661 -54.68363 -54.59155 
282.08496 -50.22690 -54.18398 -54.66148 
283.16162 -51.62180 -55.50909 -54.73127 
284.23828 -53.72304 -57.54068 -54.80093 
285.31494 -55.04552 -58.79365 -54.87044 
286.39160 -56.30140 -59.98017 -54.93980 
287.46826 -58.55569 -62.16525 -55.00901 
288.54492 -58.53316 -62.07366 -55.07806 
289.62158 -55.78453 -59.25614 -55.14696 
290.69824 -54.44268 -57.84556 -55.21569 
291.77490 -55.31992 -58.65423 -55.28426 
292.85156 -59.16072 -62.42663 -55.35266 
293.92822 -68.49295 -71.69062 -55.42089 
295.00488 -62.10048 -65.23010 -55.48894 
296.08154 -57.58339 -60.64514 -55.55681 
297.15820 -56.87481 -59.86888 -55.62451 
298.23486 -58.70859 -61.63514 -55.69201 
299.31152 -62.00710 -64.86633 -55.75933 
300.38818 -63.57928 -66.37139 -55.82646 
301.46484 -64.12723 -66.85241 -55.89339 
302.54150 -64.43009 -67.08853 -55.96013 
303.61816 -61.14174 -63.73364 -56.02667 
304.69482 -58.49347 -61.01903 -56.09301 
305.77148 -58.35742 -60.81685 -56.15915 
306.84814 -61.16373 -63.55722 -56.22508 
307.92480 -68.67831 -71.00608 -56.29080 
309.00146 -68.02401 -70.28627 -56.35631 
310.07812 -61.07366 -63.27062 -56.42160 
311.15479 -57.49118 -59.62307 -56.48669 
312.23145 -55.87534 -57.94235 -56.55155 
313.30811 -56.49013 -58.49250 -56.61620 
314.38477 -60.26519 -62.20314 -56.68063 
315.46143 -61.52350 -63.39724 -56.74483 
316.53809 -55.46682 -57.27658 -51.32375 
317.61475 -52.67961 -54.42562 -56.87256 
318.69141 -52.60375 -54.28623 -56.93608 
319.76807 -54.26242 -55.88161 -56.99938 
320.84473 -54.54155 -56.09768 -57.06244 
321.92139 -52.66558 -54.15888 -57.12527 
322.99805 -52.20403 -53.63473 -57.18787 
324.07471 -54.71642 -56.08476 -57.25023 
