%
freq per preWhitenedPer modelledPsd
1539.06250 -78.13950 -85.33936 -80.54669 
1546.87500 -78.08132 -85.21105 -80.61681 
1554.68750 -80.23092 -87.29086 -80.68662 
1562.50000 -85.89647 -92.88692 -80.75610 
1570.31250 -88.60058 -95.52187 -80.82526 
1578.12500 -80.85131 -87.70375 -80.89411 
1585.93750 -76.88621 -83.67011 -80.96264 
1593.75000 -74.71280 -81.42848 -81.03086 
1601.56250 -73.49880 -80.14657 -81.09877 
1609.37500 -72.93409 -79.51426 -81.16638 
1617.18750 -72.94545 -79.45832 -81.23367 
1625.00000 -73.56780 -80.01368 -71.18197 
1632.81250 -74.85755 -81.23674 -81.36736 
1640.62500 -76.83336 -83.14616 -81.43375 
1648.43750 -79.44446 -85.69117 -81.49984 
1656.25000 -82.66085 -88.84176 -81.56564 
1664.06250 -86.85232 -92.96773 -81.63113 
1671.87500 -92.01087 -98.06108 -81.69634 
1679.68750 -89.45285 -95.43814 -81.76126 
1687.50000 -85.01623 -90.93689 -81.82588 
1695.31250 -82.96591 -88.82224 -81.89022 
1703.12500 -82.88732 -88.67960 -81.95427 
1710.93750 -84.64362 -90.37214 -82.01803 
1718.75000 -87.82234 -93.48738 -82.08152 
1726.56250 -88.90871 -94.51054 -82.14472 
1734.37500 -87.10225 -92.64116 -82.20764 
1742.18750 -86.81122 -92.28748 -82.27028 
1750.00000 -89.66146 -95.07536 -82.33265 
1757.81250 -98.96841 -104.32022 -82.39474 
1765.62500 -91.28103 -96.57102 -82.45656 
1773.43750 -85.39538 -90.62382 -82.51810 
1781.25000 -83.05960 -88.22677 -82.57938 
1789.06250 -82.53078 -87.63694 -82.64039 
1796.87500 -82.89699 -87.94240 -82.70113 
1804.68750 -83.11156 -88.09650 -82.76161 
1812.50000 -82.68791 -87.61264 -82.82182 
1820.31250 -82.32886 -87.19364 -82.88177 
1828.12500 -82.73622 -87.54132 -78.38347 
1835.93750 -83.98053 -88.72619 -83.00088 
